Age Group_0 to 17,Age Group_18 to 29,Age Group_30 to 49,Age Group_50 to 69,Age Group_70 or Older
0,0,1,0,0
0,0,0,0,1
0,0,1,0,0
1,0,0,0,0
0,0,0,0,1
1,0,0,0,0
0,1,0,0,0
0,0,0,0,1
1,0,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,0,1,0,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,1,0,0
0,0,1,0,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,0,1,0,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,1,0,0
0,0,0,0,1
0,0,0,1,0
0,1,0,0,0
0,0,0,0,1
0,1,0,0,0
0,0,1,0,0
1,0,0,0,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,1,0,0,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,0,1
0,0,1,0,0
0,0,0,1,0
0,0,0,1,0
0,0,1,0,0
1,0,0,0,0
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,1,0,0,0
0,1,0,0,0
1,0,0,0,0
0,1,0,0,0
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,1,0,0,0
0,0,1,0,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,1,0,0
0,1,0,0,0
0,0,0,0,1
0,1,0,0,0
0,0,0,0,1
0,0,1,0,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,1,0
0,1,0,0,0
0,0,0,0,1
0,0,1,0,0
0,0,1,0,0
0,0,0,0,1
0,0,1,0,0
0,0,1,0,0
0,0,0,1,0
0,0,0,0,1
0,0,1,0,0
0,0,0,0,1
0,0,1,0,0
0,0,0,1,0
0,0,0,0,1
0,0,1,0,0
0,0,0,0,1
0,1,0,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,1,0,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
0,0,0,0,1
0,0,0,0,1
0,0,1,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,1,0,0,0
0,1,0,0,0
0,0,0,0,1
0,1,0,0,0
0,0,1,0,0
1,0,0,0,0
0,0,0,1,0
0,0,1,0,0
0,0,0,0,1
0,0,1,0,0
0,1,0,0,0
0,0,1,0,0
0,0,0,0,1
1,0,0,0,0
0,0,0,1,0
0,1,0,0,0
0,0,0,0,1
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,0,1,0
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,1,0,0
0,0,0,0,1
0,0,1,0,0
0,0,0,1,0
0,0,0,1,0
0,0,1,0,0
0,0,0,0,1
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,0,1
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
0,0,1,0,0
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,1,0,0,0
0,0,0,0,1
0,0,1,0,0
0,0,0,0,1
0,0,0,1,0
0,0,1,0,0
0,0,0,1,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,0,1,0
0,0,0,0,1
1,0,0,0,0
0,0,0,0,1
